seqnames,start,end,width,strand,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,symbol,refseq,ensembl
chr1,189385544,189386454,911,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,189388101,189390135,2035,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,189639846,189640963,1118,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,189663062,189664094,1033,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,190284811,190285388,578,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,190814638,190815446,809,*,5996,190811480,190815782,+,inside,3158,336,Overlapping,RGS1,NM_002922;NP_002913,ENSG00000090104
chr1,192155384,192156043,660,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,195721232,195722241,1010,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,196891081,196891697,617,*,5788,196874760,196993168,+,inside,16321,16321,Overlapping,PTPRC,NM_001267798;NM_002838;NM_080921;NM_080922;NP_001254727;NP_002829;NP_563578;NR_052021;XM_006711472;XM_006711473;XM_006711474;XP_006711535;XP_006711536;XP_006711537,ENSG00000081237;ENSG00000262418
chr1,198136894,198137739,846,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,198230858,198231572,715,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,198252249,198253368,1120,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,198386000,198387115,1116,*,2494,198263393,198413173,+,inside,122607,26058,Overlapping,NR5A2,NM_001276464;NM_003822;NM_205860;NP_001263393;NP_003813;NP_995582;XM_005245062;XM_011509380;XM_011509381;XM_011509382;XM_011509384;XM_017000904;XP_005245119;XP_011507682;XP_011507683;XP_011507684;XP_011507686;XP_016856393,ENSG00000116833
chr1,198419773,198420463,691,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,198572086,198573493,1408,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,199124640,199125314,675,*,55765,199127292,199151486,+,upstream,-2652,1978,Overlapping,INAVA,NM_001142569;NM_001367289;NM_001367290;NM_018265;NP_001136041;NP_001354218;NP_001354219;NP_060735;XM_011509754;XM_011509755;XM_011509756;XP_011508056;XP_011508057;XP_011508058,ENSG00000163362
chr1,199128525,199129659,1135,*,55765,199127292,199151486,+,inside,1233,1233,Overlapping,INAVA,NM_001142569;NM_001367289;NM_001367290;NM_018265;NP_001136041;NP_001354218;NP_001354219;NP_060735;XM_011509754;XM_011509755;XM_011509756;XP_011508056;XP_011508057;XP_011508058,ENSG00000163362
chr1,199295655,199296861,1207,*,779,199275263,199348317,-,inside,52662,20392,Overlapping,CACNA1S,NM_000069;NP_000060;XM_005245478;XP_005245535,ENSG00000081248
chr1,199405744,199406900,1157,*,252839,199370523,199407325,-,inside,1581,425,Overlapping,TMEM9,NM_001288564;NM_001288565;NM_001288566;NM_001288567;NM_001288568;NM_001288569;NM_001288570;NM_001288571;NM_016456;NP_001275493;NP_001275494;NP_001275495;NP_001275496;NP_001275497;NP_001275498;NP_001275499;NP_001275500;NP_057540;NR_109920;NR_109921;XM_011509385;XM_011509386;XM_011509387;XP_011507687;XP_011507688;XP_011507689,ENSG00000116857
chr1,199412569,199413070,502,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,199521404,199522673,1270,*,5317,199519203,199568740,+,inside,2201,2201,Overlapping,PKP1,NM_000299;NM_001005337;NP_000290;NP_001005337,ENSG00000081277
chr1,199545000,199545584,585,*,5317,199519203,199568740,+,inside,25797,23156,Overlapping,PKP1,NM_000299;NM_001005337;NP_000290;NP_001005337,ENSG00000081277
chr1,199588601,199589509,909,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,199616801,199617733,933,*,3898,199616589,199635292,-,inside,18491,212,Overlapping,LAD1,NM_005558;NP_005549,ENSG00000159166
chr1,199616801,199617733,933,*,7139,199594765,199613428,-,upstream,-3373,3373,Overlapping,TNNT2,NM_000364;NM_001001430;NM_001001431;NM_001001432;NM_001276345;NM_001276346;NM_001276347;NP_000355;NP_001001430;NP_001001431;NP_001001432;NP_001263274;NP_001263275;NP_001263276;XM_006711508;XM_006711509;XM_011509938;XM_011509939;XM_011509940;XM_011509941;XM_011509942;XM_011509943;XM_011509944;XM_011509946;XM_017002216;XM_017002217;XM_024449450;XM_024449454;XM_024449455;XP_006711571;XP_006711572;XP_011508240;XP_011508241;XP_011508242;XP_011508243;XP_011508244;XP_011508245;XP_011508246;XP_011508248;XP_016857705;XP_016857706;XP_024305218;XP_024305222;XP_024305223,ENSG00000118194
chr1,199833443,199834584,1142,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,199977175,199978034,860,*,89796,199884073,200062720,+,inside,93102,84686,Overlapping,NAV1,NM_001167738;NM_020443;NP_001161210;NP_065176;XM_006711609;XM_006711610;XM_006711611;XM_011510097;XM_011510098;XM_011510099;XM_011510100;XM_011510101;XM_011510102;XM_017002751;XM_017002752;XM_017002753;XM_017002754;XM_024450645;XP_006711672;XP_006711673;XP_006711674;XP_011508399;XP_011508400;XP_011508401;XP_011508402;XP_011508403;XP_011508404;XP_016858240;XP_016858241;XP_016858242;XP_016858243;XP_024306413,ENSG00000134369
chr1,200177032,200177434,403,*,25802,200132207,200182339,-,inside,5307,4905,Overlapping,LMOD1,NM_012134;NP_036266,ENSG00000163431
chr1,200243685,200244251,567,*,1999,200243696,200252938,+,overlapStart,-11,11,Overlapping,ELF3,NM_001114309;NM_004433;NP_001107781;NP_004424;XM_005244942;XP_005244999,ENSG00000163435
chr1,200243685,200244251,567,*,6051,200218389,200241898,+,downstream,25296,1787,Overlapping,RNPEP,NM_001319182;NM_001319183;NM_001319184;NM_020216;NP_001306111;NP_001306112;NP_001306113;NP_064601;XM_005245421;XM_017002022;XP_005245478;XP_016857511,ENSG00000176393
chr1,200253998,200255236,1239,*,1999,200243696,200252938,+,downstream,10302,1060,Overlapping,ELF3,NM_001114309;NM_004433;NP_001107781;NP_004424;XM_005244942;XP_005244999,ENSG00000163435
chr1,200258553,200259385,833,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200270346,200271257,912,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200281500,200283440,1941,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200292470,200293430,961,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200293731,200294899,1169,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200321596,200322290,695,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200322499,200323315,817,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200341435,200342646,1212,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200342910,200344840,1931,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200348358,200349184,827,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,200367615,200368833,1219,*,127829,200368600,200380489,-,overlapEnd,12874,233,Overlapping,ARL8A,NM_001256129;NM_138795;NP_001243058;NP_620150,ENSG00000143862
chr1,200367615,200368833,1219,*,9283,200358652,200365257,+,downstream,8963,2358,Overlapping,GPR37L1,NM_004767;NP_004758;XM_011510158;XP_011508460,ENSG00000170075
chr1,200435872,200436461,590,*,59352,200429741,200555512,+,inside,6131,6131,Overlapping,LGR6,NM_001017403;NM_001017404;NM_021636;NP_001017403;NP_001017404;NP_067649;XM_005245404;XM_011509838;XM_011509839;XM_011509840;XM_011509841;XM_011509842;XM_011509843;XM_011509844;XM_011509846;XM_017001996;XM_017001997;XM_017001998;XP_005245461;XP_011508140;XP_011508141;XP_011508142;XP_011508143;XP_011508144;XP_011508145;XP_011508146;XP_011508148;XP_016857485;XP_016857486;XP_016857487,ENSG00000133067
chr1,200570850,200571730,881,*,29089,200567408,200577707,-,inside,6857,3442,Overlapping,UBE2T,NM_001310326;NM_014176;NP_001297255;NP_054895,ENSG00000077152
chr1,200767804,200768489,686,*,4660,200584459,200824320,+,inside,183345,55831,Overlapping,PPP1R12B,NM_001167857;NM_001167858;NM_001197131;NM_001331029;NM_002481;NM_032103;NM_032104;NM_032105;NP_001161329;NP_001161330;NP_001184060;NP_001317958;NP_002472;NP_115286;NP_115287;XM_005245206;XM_017001342;XM_017001343;XM_017001345;XM_017001346;XM_017001347;XM_017001348;XM_017001350;XM_017001351;XM_017001352;XM_017001353;XM_017001354;XM_017001355;XP_005245263;XP_016856831;XP_016856832;XP_016856834;XP_016856835;XP_016856836;XP_016856837;XP_016856839;XP_016856840;XP_016856841;XP_016856842;XP_016856843;XP_016856844;XR_001737195;XR_001737196;XR_001737197;XR_001737198;XR_001737199;XR_001737200;XR_001737201;XR_001737202;XR_002956646,ENSG00000077157
chr1,200984961,200986353,1393,*,10765,200963155,201044172,-,inside,59211,21806,Overlapping,KDM5B,NM_001314042;NM_001347591;NM_006618;NP_001300971;NP_001334520;NP_006609;XM_011509090;XM_011509091;XM_011509092;XP_011507392;XP_011507393;XP_011507394,ENSG00000117139
chr1,201072314,201072950,637,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,201294943,201295591,649,*,8497,201270235,201314487,+,inside,24708,18896,Overlapping,PPFIA4,NM_001304331;NM_001304332;NM_015053;NP_001291260;NP_001291261;XM_006711586;XM_011510070;XM_017002606;XM_017002607;XM_017002609;XM_017002610;XP_006711649;XP_011508372;XP_016858095;XP_016858096;XP_016858098;XP_016858099;XR_001737495;XR_001737496;XR_001737497;XR_001737498;XR_002957844;XR_426804,ENSG00000143847
chr1,201324577,201325913,1337,*,4656,201318880,201322000,-,upstream,-2577,2577,Overlapping,MYOG,NM_002479;NP_002470,ENSG00000122180
chr1,201405100,201405982,883,*,134,201363459,201403156,+,downstream,41641,1944,Overlapping,ADORA1,NM_000674;NM_001048230;NM_001365065;NM_001365066;NP_000665;NP_001041695;NP_001351994;NP_001351995;XM_005244901;XM_005244902;XM_017000342;XP_005244958;XP_005244959;XP_016855831,ENSG00000163485
chr1,201405100,201405982,883,*,4608,201403562,201411565,-,inside,6465,1538,Overlapping,MYBPH,NM_004997;NP_004988,ENSG00000133055
chr1,201516432,201517281,850,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,201551888,201553117,1230,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,202165327,202165957,631,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,202167516,202168324,809,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,202339648,202340973,1326,*,9580,202308869,202363494,+,inside,30779,22521,Overlapping,SOX13,NM_005686;NP_005677;XM_005245623;XP_005245680,ENSG00000143842
chr1,202376716,202377333,618,*,55224,202366813,202387930,-,inside,11214,9903,Overlapping,ETNK2,NM_001297760;NM_001297761;NM_001297762;NM_018208;NP_001284689;NP_001284690;NP_001284691;NP_060678;XM_011509714;XM_011509715;XM_017001632;XM_024448127;XP_011508016;XP_011508017;XP_016857121;XP_024303895,ENSG00000143845
chr1,202380853,202381666,814,*,55224,202366813,202387930,-,inside,7077,6264,Overlapping,ETNK2,NM_001297760;NM_001297761;NM_001297762;NM_018208;NP_001284689;NP_001284690;NP_001284691;NP_060678;XM_011509714;XM_011509715;XM_017001632;XM_024448127;XP_011508016;XP_011508017;XP_016857121;XP_024303895,ENSG00000143845
chr1,202384793,202385481,689,*,55224,202366813,202387930,-,inside,3137,2449,Overlapping,ETNK2,NM_001297760;NM_001297761;NM_001297762;NM_018208;NP_001284689;NP_001284690;NP_001284691;NP_060678;XM_011509714;XM_011509715;XM_017001632;XM_024448127;XP_011508016;XP_011508017;XP_016857121;XP_024303895,ENSG00000143845
chr1,202461499,202462545,1047,*,22874,202454604,202595667,-,inside,134168,6895,Overlapping,PLEKHA6,NM_014935;NM_138480;NP_055750;XM_005244966;XM_005244967;XM_005244968;XM_006711212;XM_006711213;XM_006711214;XM_006711215;XM_006711217;XM_006711219;XM_006711221;XM_006711222;XM_011509295;XM_011509296;XM_011509297;XM_011509298;XM_011509299;XM_011509301;XM_011509304;XM_017000687;XM_017000688;XM_017000689;XM_017000690;XM_017000691;XM_017000692;XP_005245023;XP_005245024;XP_005245025;XP_006711275;XP_006711276;XP_006711277;XP_006711278;XP_006711280;XP_006711282;XP_006711284;XP_006711285;XP_011507597;XP_011507598;XP_011507599;XP_011507600;XP_011507601;XP_011507603;XP_011507606;XP_016856176;XP_016856177;XP_016856178;XP_016856179;XP_016856180;XP_016856181,ENSG00000143850
chr1,202616135,202617190,1056,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,202652822,202653682,861,*,5287,202658389,202730475,-,downstream,77653,4707,Overlapping,PIK3C2B,NM_002646;NP_002637;XM_005245257;XM_005245258;XM_011509630;XM_011509631;XM_011509633;XM_017001473;XM_017001474;XM_017001475;XP_005245314;XP_005245315;XP_011507932;XP_011507933;XP_011507935;XP_016856962;XP_016856963;XP_016856964;XR_241085;XR_241086,ENSG00000133056
chr1,202678618,202679575,958,*,5287,202658389,202730475,-,inside,51857,20229,Overlapping,PIK3C2B,NM_002646;NP_002637;XM_005245257;XM_005245258;XM_011509630;XM_011509631;XM_011509633;XM_017001473;XM_017001474;XM_017001475;XP_005245314;XP_005245315;XP_011507932;XP_011507933;XP_011507935;XP_016856962;XP_016856963;XP_016856964;XR_241085;XR_241086,ENSG00000133056
chr1,202729373,202730101,729,*,5287,202658389,202730475,-,inside,1102,374,Overlapping,PIK3C2B,NM_002646;NP_002637;XM_005245257;XM_005245258;XM_011509630;XM_011509631;XM_011509633;XM_017001473;XM_017001474;XM_017001475;XP_005245314;XP_005245315;XP_011507932;XP_011507933;XP_011507935;XP_016856962;XP_016856963;XP_016856964;XR_241085;XR_241086,ENSG00000133056
chr1,202808757,202809816,1060,*,4194,202752134,202944284,+,inside,56623,56623,Overlapping,MDM4,NM_001204171;NM_001204172;NM_001278516;NM_001278517;NM_001278518;NM_001278519;NM_002393;NP_001191100;NP_001191101;NP_001265445;NP_001265446;NP_001265447;NP_001265448;NP_002384;XM_017001311;XM_017001312;XM_017001313;XM_024447114;XM_024447115;XP_016856800;XP_016856801;XP_016856802;XP_024302882;XP_024302883;XR_001737179;XR_001737180;XR_001737181;XR_001737182;XR_001737183;XR_002956626,ENSG00000198625
chr1,202811989,202812603,615,*,4194,202752134,202944284,+,inside,59855,59855,Overlapping,MDM4,NM_001204171;NM_001204172;NM_001278516;NM_001278517;NM_001278518;NM_001278519;NM_002393;NP_001191100;NP_001191101;NP_001265445;NP_001265446;NP_001265447;NP_001265448;NP_002384;XM_017001311;XM_017001312;XM_017001313;XM_024447114;XM_024447115;XP_016856800;XP_016856801;XP_016856802;XP_024302882;XP_024302883;XR_001737179;XR_001737180;XR_001737181;XR_001737182;XR_001737183;XR_002956626,ENSG00000198625
chr1,202999140,202999854,715,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,203239138,203239893,756,*,23114,203064446,203258572,+,inside,174692,18679,Overlapping,NFASC,NM_001005387;NM_001005388;NM_001005389;NM_001160331;NM_001160332;NM_001160333;NM_001365986;NM_015090;NP_001005388;NP_001005389;NP_001153803;NP_001153804;NP_001153805;NP_001352915;NP_055905;XM_005244989;XM_005244991;XM_005244992;XM_005244993;XM_005244997;XM_011509311;XM_011509312;XM_011509314;XM_011509316;XM_011509318;XM_011509319;XM_011509320;XM_011509321;XM_011509322;XM_011509323;XM_011509325;XM_011509326;XM_011509327;XM_011509328;XM_017000733;XM_017000734;XM_017000738;XM_017000739;XM_017000740;XM_017000741;XM_017000742;XM_017000743;XM_024454283;XM_024454285;XM_024454288;XM_024454292;XM_024454296;XM_024454297;XM_024454299;XM_024454300;XM_024454301;XM_024454302;XP_005245046;XP_005245048;XP_005245049;XP_005245050;XP_005245054;XP_011507613;XP_011507614;XP_011507616;XP_011507618;XP_011507620;XP_011507621;XP_011507622;XP_011507623;XP_011507624;XP_011507625;XP_011507627;XP_011507628;XP_011507629;XP_011507630;XP_016856222;XP_016856223;XP_016856227;XP_016856228;XP_016856229;XP_016856230;XP_016856231;XP_016856232;XP_024310051;XP_024310053;XP_024310056;XP_024310060;XP_024310064;XP_024310065;XP_024310067;XP_024310068;XP_024310069;XP_024310070,ENSG00000163531
chr1,203552532,203553763,1232,*,81788,203537814,203557506,-,inside,4974,3743,Overlapping,NUAK2,NM_030952;NP_112214;XM_005245515;XP_005245572,ENSG00000163545
chr1,203751634,203752232,599,*,5129,203740350,203768540,+,inside,11284,11284,Overlapping,CDK18,NM_002596;NM_212502;NM_212503;NP_002587;NP_997667;NP_997668;XM_011509602;XM_017001423;XP_011507904;XP_016856912;XR_001737212;XR_001737213;XR_002956776;XR_426779;XR_426780;XR_426781;XR_426782;XR_426784;XR_921822,ENSG00000117266
chr1,203778793,203779633,841,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,203888479,203889276,798,*,85414,203893604,203916253,-,downstream,27774,4328,Overlapping,SLC45A3,NM_033102;NP_149093,ENSG00000158715
chr1,204182541,204183336,796,*,115019,204148800,204179211,-,upstream,-3330,3330,Overlapping,SLC26A9,NM_001142600;NM_052934;NM_134325;NP_443166;NP_599152;XM_011509121;XM_011509122;XM_011509124;XP_011507423;XP_011507424;XP_011507426;XR_001736957,ENSG00000174502
chr1,204928691,204929447,757,*,8444,204875504,204924381,+,downstream,53187,4310,Overlapping,DYRK3,NM_001004023;NM_003582;NP_001004023;NP_003573;XM_005273315;XM_011510061;XP_005273372;XP_011508363,ENSG00000143479
chr1,204928691,204929447,757,*,9261,204924912,204974249,+,inside,3779,3779,Overlapping,MAPKAPK2,NM_004759;NM_032960;NP_004750;NP_116584;XM_005273353;XM_017002810;XP_005273410;XP_016858299,ENSG00000162889
chr1,205036326,205037306,981,*,29949,205038838,205082948,+,upstream,-2512,1532,Overlapping,IL19,NM_001369605;NM_013371;NM_153758;NP_001356534;NP_037503;NP_715639;XM_011509450;XP_011507752,ENSG00000142224
chr1,205083484,205084364,881,*,29949,205038838,205082948,+,downstream,44646,536,Overlapping,IL19,NM_001369605;NM_013371;NM_153758;NP_001356534;NP_037503;NP_715639;XM_011509450;XP_011507752,ENSG00000142224
chr1,205135042,205136280,1239,*,11009,205137412,205144107,+,upstream,-2370,1132,Overlapping,IL24,NM_001185156;NM_001185157;NM_001185158;NM_006850;NM_181339;NP_001172085;NP_001172086;NP_001172087;NP_006841;XM_011509101;XM_017000121;XP_011507403;XP_016855610,ENSG00000162892
chr1,205143488,205144106,619,*,11009,205137412,205144107,+,inside,6076,1,Overlapping,IL24,NM_001185156;NM_001185157;NM_001185158;NM_006850;NM_181339;NP_001172085;NP_001172086;NP_001172087;NP_006841;XM_011509101;XM_017000121;XP_011507403;XP_016855610,ENSG00000162892
chr1,205143488,205144106,619,*,9214,205144354,205161966,-,downstream,18478,248,Overlapping,FCMR,NM_001142472;NM_001142473;NM_001193338;NM_005449;NP_001135945;NP_001180267;NP_005440;XM_005273351;XM_005273352;XP_005273408;XP_005273409;XR_921999,ENSG00000162894
chr1,205480679,205481852,1174,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,205555759,205557261,1503,*,1604,205561440,205600934,+,upstream,-5681,4179,Overlapping,CD55,NM_000574;NM_001114543;NM_001114544;NM_001114752;NM_001300902;NM_001300903;NM_001300904;NP_000565;NP_001108224;NP_001287831;NP_001287832;NP_001287833;NR_125349;XM_017000467;XP_016855956,ENSG00000196352
chr1,205560667,205561819,1153,*,1604,205561440,205600934,+,overlapStart,-773,379,Overlapping,CD55,NM_000574;NM_001114543;NM_001114544;NM_001114752;NM_001300902;NM_001300903;NM_001300904;NP_000565;NP_001108224;NP_001287831;NP_001287832;NP_001287833;NR_125349;XM_017000467;XP_016855956,ENSG00000196352
chr1,206330249,206330817,569,*,5362,206262211,206484288,-,inside,154039,68038,Overlapping,PLXNA2,NM_025179;NP_079455;XM_005273164;XM_005273165;XP_005273221;XP_005273222;XR_002956815,ENSG00000076356
chr1,206424127,206424870,744,*,5362,206262211,206484288,-,inside,60161,59418,Overlapping,PLXNA2,NM_025179;NP_079455;XM_005273164;XM_005273165;XP_005273221;XP_005273222;XR_002956815,ENSG00000076356
chr1,207459898,207460356,459,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,207786310,207786854,545,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,209353594,209353974,381,*,3756,208923178,209374080,-,inside,20486,20106,Overlapping,KCNH1,NM_002238;NM_172362;NP_002229;NP_758872;XM_017001246;XP_016856735,ENSG00000143473;ENSG00000283965
chr1,209742245,209742767,523,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,209761357,209761876,520,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,210317817,210318388,572,*,51514,210275542,210344810,+,inside,42275,26422,Overlapping,DTL,NM_001286229;NM_001286230;NM_016448;NP_001273158;NP_001273159;NP_057532;XM_011509614;XP_011507916,ENSG00000143476
chr1,210378270,210379032,763,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,210387333,210388118,786,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,210706737,210707333,597,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,210726002,210726737,736,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,210797932,210798413,482,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,211662832,211663449,618,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,211944854,211945328,475,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,212224098,212225296,1199,*,5629,212227909,212276385,+,upstream,-3811,2613,Overlapping,PROX1,NM_001270616;NM_002763;NP_001257545;NP_002754;XM_005273194;XM_005273195;XM_011509771;XM_011509772;XM_011509773;XM_017001832;XM_017001833;XP_005273251;XP_005273252;XP_011508073;XP_011508074;XP_011508075;XP_016857321;XP_016857322,ENSG00000117707
chr1,212290438,212291522,1085,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,212484700,212485374,675,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,212567422,212568020,599,*,56950,212521188,212577100,+,inside,46234,9080,Overlapping,SMYD2,NM_020197;NP_064582;XR_426790,ENSG00000143499
chr1,212940241,212940732,492,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,213664931,213665580,650,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,213713608,213714296,689,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,213721877,213722693,817,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,213779735,213780802,1068,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,214941216,214941891,676,*,2104,214743211,215377720,-,inside,436504,198005,Overlapping,ESRRG,NM_001134285;NM_001243505;NM_001243506;NM_001243507;NM_001243509;NM_001243510;NM_001243511;NM_001243512;NM_001243513;NM_001243514;NM_001243515;NM_001243518;NM_001243519;NM_001350122;NM_001350123;NM_001350124;NM_001350125;NM_001438;NM_206594;NM_206595;NP_001127757;NP_001230434;NP_001230435;NP_001230436;NP_001230438;NP_001230439;NP_001230440;NP_001230441;NP_001230442;NP_001230443;NP_001230444;NP_001230447;NP_001230448;NP_001337051;NP_001337052;NP_001337053;NP_001337054;NP_001429;NP_996317;NP_996318;XM_011509265;XM_011509266;XM_011509267;XM_011509268;XM_011509269;XM_011509271;XM_011509274;XM_011509275;XM_011509276;XM_011509277;XM_011509278;XM_011509279;XM_011509280;XM_017000621;XM_017000622;XM_017000623;XM_017000624;XM_017000625;XM_017000626;XM_017000627;XM_017000628;XM_017000630;XM_017000631;XM_017000632;XM_017000633;XM_017000634;XM_017000635;XM_017000636;XM_017000637;XM_017000638;XM_017000639;XM_017000641;XM_017000644;XM_017000645;XM_024453959;XM_024453960;XM_024453975;XM_024453979;XM_024453980;XP_011507567;XP_011507568;XP_011507569;XP_011507570;XP_011507571;XP_011507573;XP_011507576;XP_011507577;XP_011507578;XP_011507579;XP_011507580;XP_011507581;XP_011507582;XP_016856110;XP_016856111;XP_016856112;XP_016856113;XP_016856114;XP_016856115;XP_016856116;XP_016856117;XP_016856119;XP_016856120;XP_016856121;XP_016856122;XP_016856123;XP_016856124;XP_016856125;XP_016856126;XP_016856127;XP_016856128;XP_016856130;XP_016856133;XP_016856134;XP_024309727;XP_024309728;XP_024309743;XP_024309747;XP_024309748,ENSG00000196482
chr1,215364066,215365097,1032,*,2104,214743211,215377720,-,inside,13654,12623,Overlapping,ESRRG,NM_001134285;NM_001243505;NM_001243506;NM_001243507;NM_001243509;NM_001243510;NM_001243511;NM_001243512;NM_001243513;NM_001243514;NM_001243515;NM_001243518;NM_001243519;NM_001350122;NM_001350123;NM_001350124;NM_001350125;NM_001438;NM_206594;NM_206595;NP_001127757;NP_001230434;NP_001230435;NP_001230436;NP_001230438;NP_001230439;NP_001230440;NP_001230441;NP_001230442;NP_001230443;NP_001230444;NP_001230447;NP_001230448;NP_001337051;NP_001337052;NP_001337053;NP_001337054;NP_001429;NP_996317;NP_996318;XM_011509265;XM_011509266;XM_011509267;XM_011509268;XM_011509269;XM_011509271;XM_011509274;XM_011509275;XM_011509276;XM_011509277;XM_011509278;XM_011509279;XM_011509280;XM_017000621;XM_017000622;XM_017000623;XM_017000624;XM_017000625;XM_017000626;XM_017000627;XM_017000628;XM_017000630;XM_017000631;XM_017000632;XM_017000633;XM_017000634;XM_017000635;XM_017000636;XM_017000637;XM_017000638;XM_017000639;XM_017000641;XM_017000644;XM_017000645;XM_024453959;XM_024453960;XM_024453975;XM_024453979;XM_024453980;XP_011507567;XP_011507568;XP_011507569;XP_011507570;XP_011507571;XP_011507573;XP_011507576;XP_011507577;XP_011507578;XP_011507579;XP_011507580;XP_011507581;XP_011507582;XP_016856110;XP_016856111;XP_016856112;XP_016856113;XP_016856114;XP_016856115;XP_016856116;XP_016856117;XP_016856119;XP_016856120;XP_016856121;XP_016856122;XP_016856123;XP_016856124;XP_016856125;XP_016856126;XP_016856127;XP_016856128;XP_016856130;XP_016856133;XP_016856134;XP_024309727;XP_024309728;XP_024309743;XP_024309747;XP_024309748,ENSG00000196482
